player_name,player_team,position,injury_status,league_team,minutes,free_throws_made,free_throws_attempted,free_throw_percentage,three_pointer,rebounds,assists,steals,blocks,points
Noah Vonleh,Chi,PF,"","",23.0,0.3,0.7,.500,1.7,7.3,0.7,1.3,0.7,9.3
Seth Curry*,Dal,SG,O,"",--,--,--,--,--,--,--,--,--,--
Ben McLemore,Mem,SG,"","",14.0,1.0,1.0,1.000,1.0,2.7,0.3,0.7,0.0,6.0
Kobe Bryant,LAL,SG,"","",--,--,--,--,--,--,--,--,--,--
Jarrett Jack,NY,PG,"","",--,--,--,--,--,--,--,--,--,--
Dragan Bender,Pho,PF,"","",30.5,0.0,0.0,.000,0.8,6.8,1.5,0.8,1.0,4.3
Doug McDermott,Dal,SF,"","",25.0,1.0,1.0,1.000,1.7,2.3,0.7,0.7,0.0,10.7
Tyler Ulis,Pho,SG,"","",23.8,1.5,1.8,.857,0.5,3.0,6.0,0.8,0.5,11.5
Malik Monk,Cha,SG,"","",14.5,1.0,1.0,1.000,1.8,1.5,2.0,0.8,0.0,7.8
Manu Ginobili,SA,SG,"","",20.3,1.7,1.7,1.000,0.7,2.3,2.7,0.7,0.0,9.0
Shabazz Muhammad,Mil,SF,"","",14.7,1.0,1.0,1.000,0.7,4.3,2.0,1.0,0.3,13.7
Anthony Tolliver,Det,PF,"","",25.5,2.0,2.3,.889,2.8,5.3,1.3,0.3,0.8,12.3
Cody Zeller*,Cha,PF,O,"",--,--,--,--,--,--,--,--,--,--
Thon Maker,Mil,PF,DTD,"",15.7,0.7,1.7,.400,0.0,2.0,1.3,0.3,0.3,4.7
JaVale McGee,GS,C,"",BOYD,13.5,0.0,0.0,.000,0.0,6.0,0.5,0.5,1.0,6.0
Alan Williams,Pho,C,"","",16.0,1.0,2.0,.500,0.0,5.0,1.0,1.0,1.0,3.0
Shane Larkin,Bos,PG,"","",24.5,1.3,1.3,1.000,0.8,2.5,3.5,1.0,0.0,7.5
Darius Miller,Nor,SF,"","",20.8,0.0,0.0,.000,1.3,2.5,2.0,0.0,0.0,5.3
David West,GS,PF,"","",14.0,0.5,0.5,1.000,0.0,2.5,1.0,0.5,1.0,6.5
Joe Johnson,Hou,SG,"","",25.5,0.5,0.8,.667,1.3,3.5,2.0,0.8,0.0,7.3
Al Jefferson,Ind,C,"","",9.0,2.0,2.0,1.000,0.0,4.0,1.0,0.0,1.0,4.0
Isaiah Taylor,Atl,PG,"",WEIS,24.3,2.3,3.5,.643,1.0,1.8,3.5,0.8,0.0,12.8
Shaun Livingston,GS,PG,"","",17.5,0.0,0.5,.000,0.0,2.0,1.5,1.5,0.5,4.0
Tyus Jones,Min,PG,"","",14.5,2.0,2.0,1.000,0.0,2.0,3.3,1.0,0.0,4.0
Tyrone Wallace,LAC,SG,"","",--,--,--,--,--,--,--,--,--,--
Chandler Parsons,Mem,SF,"","",17.5,0.0,0.0,.000,0.5,2.5,2.5,0.0,0.0,2.5
Terrence Ross*,Orl,SG,O,"",--,--,--,--,--,--,--,--,--,--
James Ennis III,Det,SF,"","",21.3,1.0,1.8,.571,0.8,3.5,0.8,0.5,0.3,8.8
